Date,Open,High,Low,Close,Adj Close,Volume
2017-11-10,1.490000,1.580000,1.430000,1.530000,1.530000,383602
2017-11-13,1.580000,1.700000,1.580000,1.670000,1.670000,511113
2017-11-14,1.710000,1.900000,1.660000,1.780000,1.780000,813553
2017-11-15,1.870000,1.900000,1.800000,1.850000,1.850000,588613
2017-11-16,1.850000,1.850000,1.650000,1.710000,1.710000,421450
2017-11-17,1.740000,1.840000,1.710000,1.790000,1.790000,395200
2017-11-20,1.700000,1.840000,1.680000,1.750000,1.750000,366764
2017-11-21,1.760000,1.780000,1.730000,1.770000,1.770000,205038
2017-11-22,1.760000,1.770000,1.700000,1.740000,1.740000,435792
2017-11-24,1.690000,1.760000,1.670000,1.720000,1.720000,498906
2017-11-27,1.730000,1.900000,1.730000,1.900000,1.900000,871018
2017-11-28,1.920000,1.930000,1.750000,1.820000,1.820000,614515
2017-11-29,1.800000,1.820000,1.670000,1.680000,1.680000,369609
2017-11-30,1.680000,1.780000,1.650000,1.780000,1.780000,248024
2017-12-01,1.800000,1.870000,1.690000,1.820000,1.820000,501809
2017-12-04,1.790000,1.920000,1.780000,1.890000,1.890000,463672
2017-12-05,2.020000,2.340000,2.000000,2.270000,2.270000,1698528
2017-12-06,2.150000,2.170000,2.030000,2.100000,2.100000,1043936
2017-12-07,2.140000,2.140000,2.000000,2.030000,2.030000,352738
2017-12-08,2.050000,2.060000,1.900000,2.030000,2.030000,597909
2017-12-11,2.060000,2.110000,2.040000,2.080000,2.080000,513435
2017-12-12,2.140000,2.150000,2.100000,2.120000,2.120000,347897
2017-12-13,2.150000,2.180000,2.080000,2.090000,2.090000,245407
2017-12-14,2.120000,2.120000,2.050000,2.090000,2.090000,173154
2017-12-15,2.250000,2.450000,2.220000,2.220000,2.220000,1277257
2017-12-18,2.300000,2.300000,2.110000,2.150000,2.150000,535962
2017-12-19,2.140000,2.150000,2.100000,2.130000,2.130000,316645
2017-12-20,2.150000,2.150000,2.050000,2.070000,2.070000,422532
2017-12-21,2.400000,2.400000,2.130000,2.260000,2.260000,1127178
2017-12-22,2.250000,2.700000,2.170000,2.250000,2.250000,301661
2017-12-26,2.250000,2.250000,2.250000,2.250000,2.250000,0
2017-12-27,2.280000,2.750000,2.250000,2.540000,2.540000,827443
2017-12-28,2.660000,2.960000,2.600000,2.840000,2.840000,1054753
2017-12-29,2.850000,2.860000,2.530000,2.660000,2.660000,737236
