Date,Open,High,Low,Close,Adj Close,Volume
2017-11-10,114.650002,117.000000,99.650002,103.000000,103.000000,5677200
2017-11-13,104.000000,106.150002,98.750000,101.099998,101.099998,1681600
2017-11-14,100.900002,102.949997,98.800003,100.199997,100.199997,959300
2017-11-15,99.400002,105.500000,97.440002,100.699997,100.699997,1291000
2017-11-16,102.500000,108.050003,101.550003,103.150002,103.150002,913800
2017-11-17,102.349998,106.349998,102.349998,105.500000,105.500000,723300
2017-11-20,105.750000,106.949997,103.760002,104.050003,104.050003,481800
2017-11-21,104.300003,106.500000,104.199997,104.900002,104.900002,446700
2017-11-22,105.000000,105.599998,100.000000,102.400002,102.400002,932900
2017-11-24,102.150002,103.449997,100.050003,101.650002,101.650002,277100
2017-11-27,101.199997,102.400002,100.699997,101.750000,101.750000,646900
2017-11-28,102.949997,105.099998,101.199997,104.849998,104.849998,651900
2017-11-29,105.250000,106.150002,99.250000,102.099998,102.099998,480200
2017-11-30,102.500000,106.150002,101.500000,105.900002,105.900002,377400
2017-12-01,105.849998,108.000000,102.300003,106.099998,106.099998,446700
2017-12-04,107.250000,108.500000,97.699997,98.250000,98.250000,822300
2017-12-05,97.900002,100.699997,92.750000,93.849998,93.849998,908300
2017-12-06,93.150002,98.300003,92.360001,98.050003,98.050003,652500
2017-12-07,98.300003,105.400002,96.349998,105.000000,105.000000,846200
2017-12-08,106.349998,108.199997,99.699997,100.750000,100.750000,1240000
2017-12-11,101.800003,103.900002,100.050003,101.150002,101.150002,509700
2017-12-12,101.750000,102.150002,98.500000,99.599998,99.599998,463500
2017-12-13,99.699997,105.500000,99.580002,105.199997,105.199997,800800
2017-12-14,105.500000,106.300003,99.449997,99.699997,99.699997,567900
2017-12-15,99.699997,101.050003,97.900002,98.199997,98.199997,1332100
2017-12-18,99.599998,100.750000,98.150002,99.250000,99.250000,570200
2017-12-19,99.750000,100.250000,97.250000,98.099998,98.099998,723200
2017-12-20,98.750000,98.949997,93.800003,94.949997,94.949997,747400
2017-12-21,94.849998,97.199997,92.500000,97.150002,97.150002,625400
2017-12-22,97.849998,99.099998,95.000000,97.150002,97.150002,603400
2017-12-26,96.349998,97.949997,95.050003,97.800003,97.800003,695100
2017-12-27,97.550003,99.650002,97.150002,99.150002,99.150002,384600
2017-12-28,98.300003,100.000000,98.059998,99.800003,99.800003,226900
2017-12-29,100.550003,100.550003,98.599998,98.849998,98.849998,531200
2018-01-02,99.500000,99.800003,91.099998,92.650002,92.650002,985100
2018-01-03,93.449997,97.699997,93.050003,96.199997,96.199997,669600
2018-01-04,96.449997,97.400002,94.050003,95.699997,95.699997,321900
2018-01-05,96.550003,97.550003,94.849998,95.349998,95.349998,381700
2018-01-08,94.500000,95.040001,89.599998,92.550003,92.550003,539900
2018-01-09,92.949997,95.150002,92.300003,93.800003,93.800003,515500
2018-01-10,93.400002,96.750000,92.900002,96.050003,96.050003,532500
2018-01-11,96.199997,97.250000,94.550003,95.699997,95.699997,368900
2018-01-12,96.800003,101.500000,95.599998,99.250000,99.250000,1069300
2018-01-16,99.400002,100.400002,89.849998,90.849998,90.849998,1027300
2018-01-17,91.699997,93.580002,88.150002,89.099998,89.099998,694100
2018-01-18,89.000000,90.599998,85.050003,88.250000,88.250000,938600
2018-01-19,87.949997,92.650002,87.949997,91.599998,91.599998,640900
2018-01-22,92.949997,95.050003,92.199997,93.949997,93.949997,1014200
2018-01-23,94.400002,94.849998,90.349998,90.900002,90.900002,1784300
2018-01-24,66.949997,68.349998,64.599998,64.699997,64.699997,7420700
2018-01-25,66.000000,70.000000,61.549999,68.099998,68.099998,2740900
2018-01-26,67.750000,69.400002,67.000000,68.699997,68.699997,1311500
2018-01-29,68.349998,70.500000,68.050003,68.900002,68.900002,1135300
2018-01-30,66.099998,66.449997,62.250000,65.750000,65.750000,1346500
2018-01-31,66.650002,67.949997,65.150002,66.849998,66.849998,844200
2018-02-01,66.800003,67.449997,64.500000,65.500000,65.500000,905400
2018-02-02,64.250000,66.900002,63.099998,64.349998,64.349998,1050200
2018-02-05,63.549999,66.529999,61.000000,61.099998,61.099998,680100
2018-02-06,60.000000,64.500000,59.099998,63.650002,63.650002,1079500
2018-02-07,63.700001,64.050003,61.250000,61.349998,61.349998,620600
2018-02-08,61.700001,62.700001,59.250000,59.700001,59.700001,737200
2018-02-09,60.299999,61.580002,56.150002,60.849998,60.849998,1003700
2018-02-12,61.349998,62.849998,59.099998,62.250000,62.250000,934400
2018-02-13,62.500000,63.450001,61.400002,61.650002,61.650002,478100
2018-02-14,60.700001,70.900002,60.500000,68.400002,68.400002,2032200
2018-02-15,69.650002,70.099998,65.629997,68.099998,68.099998,997100
2018-02-16,67.550003,69.050003,66.199997,67.050003,67.050003,508600
2018-02-20,66.300003,68.699997,66.099998,67.050003,67.050003,476200
2018-02-21,67.150002,68.550003,66.400002,67.099998,67.099998,412700
2018-02-22,68.000000,68.099998,65.699997,66.150002,66.150002,591900
2018-02-23,66.150002,68.650002,61.700001,68.250000,68.250000,1210900
2018-02-26,68.300003,69.300003,65.199997,67.900002,67.900002,712400
2018-02-27,67.199997,68.000000,66.599998,66.900002,66.900002,376200
2018-02-28,67.699997,69.250000,65.300003,65.349998,65.349998,877600
2018-03-01,65.150002,65.199997,61.549999,61.750000,61.750000,1348200
2018-03-02,61.950001,73.550003,60.750000,71.050003,71.050003,4031100
2018-03-05,71.199997,78.300003,71.099998,76.300003,76.300003,1875500
2018-03-06,75.550003,76.500000,73.449997,76.250000,76.250000,707900
2018-03-07,75.500000,79.699997,75.099998,79.699997,79.699997,664000
2018-03-08,78.550003,81.849998,77.599998,80.849998,80.849998,1127000
2018-03-09,82.449997,83.150002,80.050003,80.750000,80.750000,720200
2018-03-12,80.750000,82.150002,79.099998,79.449997,79.449997,692100
2018-03-13,79.900002,80.199997,72.199997,73.800003,73.800003,1268000
2018-03-14,74.849998,76.449997,73.190002,74.250000,74.250000,561400
2018-03-15,74.550003,74.949997,73.000000,74.400002,74.400002,446400
2018-03-16,74.000000,75.290001,72.349998,74.699997,74.699997,798600
2018-03-19,74.250000,74.699997,70.300003,72.750000,72.750000,842900
2018-03-20,72.949997,72.949997,70.599998,71.250000,71.250000,517500
2018-03-21,71.150002,73.349998,70.300003,72.449997,72.449997,366000
2018-03-22,71.750000,73.000000,70.650002,71.150002,71.150002,630400
2018-03-23,70.849998,72.160004,69.050003,69.849998,69.849998,553700
2018-03-26,71.199997,71.449997,68.250000,70.550003,70.550003,736200
2018-03-27,70.900002,71.699997,63.750000,64.900002,64.900002,843100
2018-03-28,65.500000,67.699997,63.450001,66.000000,66.000000,444700
2018-03-29,66.699997,69.250000,65.550003,68.050003,68.050003,382500
2018-04-02,67.349998,68.430000,64.099998,64.400002,64.400002,687600
2018-04-03,65.349998,67.309998,63.650002,64.349998,64.349998,559900
2018-04-04,63.299999,67.000000,62.049999,66.500000,66.500000,564000
2018-04-05,67.000000,67.000000,63.400002,64.800003,64.800003,451600
2018-04-06,63.950001,64.699997,61.599998,62.799999,62.799999,630000
2018-04-09,64.199997,68.250000,64.050003,64.099998,64.099998,1364000
2018-04-10,65.199997,65.849998,63.650002,65.099998,65.099998,672400
2018-04-11,64.500000,66.949997,64.500000,66.150002,66.150002,434000
2018-04-12,62.299999,67.699997,60.099998,67.099998,67.099998,834200
2018-04-13,67.150002,67.349998,65.550003,66.400002,66.400002,463900
2018-04-16,66.800003,67.199997,65.000000,66.099998,66.099998,287100
2018-04-17,66.099998,67.650002,65.699997,66.800003,66.800003,668500
2018-04-18,67.449997,67.449997,64.849998,64.949997,64.949997,720900
2018-04-19,63.500000,65.650002,61.750000,62.349998,62.349998,584800
2018-04-20,62.150002,62.950001,60.849998,61.250000,61.250000,466100
2018-04-23,61.599998,62.750000,60.549999,61.799999,61.799999,386500
2018-04-24,62.099998,63.549999,61.049999,61.900002,61.900002,295300
2018-04-25,61.900002,63.650002,60.860001,63.250000,63.250000,330200
2018-04-26,63.750000,65.599998,63.400002,64.199997,64.199997,436200
2018-04-27,64.650002,68.900002,64.099998,68.250000,68.250000,615900
2018-04-30,68.050003,68.599998,63.700001,63.750000,63.750000,575900
2018-05-01,63.849998,64.849998,63.500000,64.000000,64.000000,328600
2018-05-02,64.050003,65.150002,63.000000,63.849998,63.849998,431800
2018-05-03,63.400002,64.150002,62.450001,62.799999,62.799999,456100
2018-05-04,62.799999,64.599998,60.549999,63.849998,63.849998,482500
2018-05-07,64.400002,65.949997,63.250000,64.550003,64.550003,401800
2018-05-08,64.199997,65.800003,63.849998,63.950001,63.950001,635600
2018-05-09,64.500000,65.900002,63.270000,65.300003,65.300003,609600
2018-05-10,60.049999,61.200001,50.500000,51.799999,51.799999,5544800
2018-05-11,52.639999,54.250000,52.099998,53.150002,53.150002,1287000
2018-05-14,53.650002,54.099998,50.650002,51.849998,51.849998,1590300
2018-05-15,51.650002,54.799999,51.549999,54.500000,54.500000,979400
2018-05-16,54.250000,57.599998,54.000000,55.599998,55.599998,1116200
